Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
27,0.0,0.0,0.0,600.0,27.0,17.0,600.0,0.0,17.832873794867076,17.832873794867076,0.0,128.49341583251953,,,,,,,,,,,,,,,,,,,,,4.976580936671168,5.709588676588464,17.07216950296676,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0,0.0,0.0,632.0,28.0,32.0,632.0,0.0,27.842680403929197,27.842680403929197,0.0,134.7616467475891,,,,,,,,,,,,,,,,,,,,,9.822521362106507,7.785515439212284,23.837635754714697,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,0.0,0.0,651.0,29.0,19.0,651.0,0.0,31.026180233062497,31.026180233062497,0.0,139.62739896774292,,,,,,,,,,,,,,,,,,,,,12.737399568819747,9.633493813425158,28.236771218994427,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,0.0,0.0,671.0,30.0,20.0,671.0,0.0,21.31740397476836,21.31740397476836,0.0,144.18872117996216,,,,,,,,,,,,,,,,,,,,,8.214292666032955,6.644079455697665,19.431694890317686,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0,0.0,0.0,706.0,31.0,35.0,706.0,0.0,68.31871072442183,68.31871072442183,0.0,150.43468713760376,,,,,,,,,,,,,,,,,,,,,23.94410356534243,18.663147253931673,57.458894949745705,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0,0.0,0.0,722.0,32.0,16.0,722.0,0.0,23.94768294218891,23.94768294218891,0.0,154.41482281684875,,,,,,,,,,,,,,,,,,,,,7.4352167396521915,8.295342515945869,22.843392949751216,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0,0.0,0.0,747.0,33.0,25.0,747.0,0.0,48.632557256953035,48.632557256953035,0.0,159.65437936782837,,,,,,,,,,,,,,,,,,,,,18.789556818510633,15.341362432188616,42.862710659910384,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0,0.0,0.0,768.0,34.0,21.0,768.0,0.0,32.31679642272432,32.31679642272432,0.0,165.14631128311157,,,,,,,,,,,,,,,,,,,,,10.894347501397522,10.326908430766618,29.771524089550486,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0,0.0,0.0,783.0,35.0,15.0,783.0,0.0,15.237572356082094,15.237572356082094,0.0,169.07092189788818,,,,,,,,,,,,,,,,,,,,,4.7359613717509825,5.248119858201903,14.606901540815917,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,16.0,1.0,16.0,799.0,0.0,6.495596475989606,6.495596475989606,0.0,501.5784385204315,,,,,,,,,,,,,,,,,,,,,2.090547285538587,2.0450605745712473,6.177809402417321,0.12273465763438822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,44.0,2.0,28.0,827.0,0.0,52.45250373289783,52.45250373289783,0.0,507.56709909439087,,,,,,,,,,,,,,,,,,,,,19.269158804866496,16.103812399863923,45.72079366626701,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,66.0,3.0,22.0,849.0,0.0,37.39866606455629,37.39866606455629,0.0,512.8047895431519,,,,,,,,,,,,,,,,,,,,,12.35052120123447,12.206853839795071,34.34563536102339,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,86.0,4.0,20.0,869.0,0.0,16.714108566655007,16.714108566655007,0.0,517.2027814388275,,,,,,,,,,,,,,,,,,,,,6.126153094603959,5.948142157430944,15.332796658789267,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,112.0,5.0,26.0,895.0,0.0,50.06691826219869,50.06691826219869,0.0,522.5439863204956,,,,,,,,,,,,,,,,,,,,,17.824944085024438,14.946704484678545,44.43834169294664,0.19943138202137903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.0,0.0,0.0,134.0,6.0,22.0,917.0,0.0,55.13276922570204,55.13276922570204,0.0,527.5344960689545,,,,,,,,,,,,,,,,,,,,,26.2625756289306,13.248207333101039,47.89210674653295,3.4032248759592942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.0,0.0,0.0,147.0,7.0,13.0,930.0,0.0,20.363854463706563,20.363854463706563,0.0,531.2184085845947,,,,,,,,,,,,,,,,,,,,,11.424683100387476,5.6043001221446875,18.69261383610091,1.897845376080756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1.0,0.0,0.0,179.0,8.0,32.0,962.0,0.0,22.173918877962105,22.173918877962105,0.0,537.448135137558,,,,,,,,,,,,,,,,,,,,,7.148200128876571,4.7891961530079925,19.317975537737485,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.0,0.0,0.0,200.0,9.0,21.0,983.0,0.0,27.76546281031674,27.76546281031674,0.0,541.9384281635284,,,,,,,,,,,,,,,,,,,,,11.533070119313491,8.034955560118457,24.873143572607376,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1.0,0.0,0.0,221.0,10.0,21.0,1004.0,0.0,36.180538770823496,36.180538770823496,0.0,546.8419938087463,,,,,,,,,,,,,,,,,,,,,12.698082664616576,11.509594884681226,33.16822668089286,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1.0,0.0,0.0,244.0,11.0,23.0,1027.0,0.0,39.89664795894417,39.89664795894417,0.0,551.9412109851837,,,,,,,,,,,,,,,,,,,,,13.095493059136466,12.057918949210144,36.464431295361486,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1.0,0.0,0.0,258.0,12.0,14.0,1041.0,0.0,18.548992129457762,18.548992129457762,0.0,555.7716798782349,,,,,,,,,,,,,,,,,,,,,5.31477685882912,6.475159219311399,17.967882696388614,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.0,0.0,0.0,273.0,13.0,15.0,1056.0,0.0,15.780083838701175,15.780083838701175,0.0,559.7133975028992,,,,,,,,,,,,,,,,,,,,,5.158726314967542,5.838758965141082,15.0680207352248,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1.0,0.0,0.0,292.0,14.0,19.0,1075.0,0.0,29.39608914252923,29.39608914252923,0.0,564.0711314678192,,,,,,,,,,,,,,,,,,,,,11.65529593097454,9.406416529499966,26.874518593317525,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.0,0.0,0.0,313.0,15.0,21.0,1096.0,0.0,22.025789799994225,22.025789799994225,0.0,568.1546397209167,,,,,,,,,,,,,,,,,,,,,9.003684674270271,7.15198667587943,19.778535007445782,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.0,0.0,0.0,346.0,16.0,33.0,1129.0,0.0,62.661160122477185,62.661160122477185,0.0,573.6451251506805,,,,,,,,,,,,,,,,,,,,,21.142355864309554,17.38136005236427,53.797514978117384,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1.0,0.0,0.0,363.0,17.0,17.0,1146.0,0.0,24.77973109030397,24.77973109030397,0.0,577.4048473834991,,,,,,,,,,,,,,,,,,,,,7.826061820037904,8.305487431481861,23.48330060160715,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1.0,0.0,0.0,387.0,18.0,24.0,1170.0,0.0,52.78442829930503,52.78442829930503,0.0,582.4532568454742,,,,,,,,,,,,,,,,,,,,,21.92147755936401,16.60893602918773,46.27039746237623,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1.0,0.0,0.0,412.0,19.0,25.0,1195.0,0.0,41.953264825324375,41.953264825324375,0.0,586.6845726966858,,,,,,,,,,,,,,,,,,,,,14.241031084575337,13.2682678616379,37.736481917708396,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1.0,0.0,0.0,433.0,20.0,21.0,1216.0,0.0,30.037109161150397,30.037109161150397,0.0,591.1041357517242,,,,,,,,,,,,,,,,,,,,,10.529891270611753,9.854513834602626,27.540202953858845,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.0,0.0,0.0,448.0,21.0,15.0,1231.0,0.0,14.268999177980445,14.268999177980445,0.0,595.0226581096649,,,,,,,,,,,,,,,,,,,,,6.249027967401826,4.996933908821269,13.257716390852673,0.17170846708279325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1.0,0.0,0.0,476.0,22.0,28.0,1259.0,0.0,59.2619277514664,59.2619277514664,0.0,600.5584120750427,,,,,,,,,,,,,,,,,,,,,24.38509978231071,18.651045288585063,50.524554451695124,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1.0,0.0,0.0,494.0,23.0,18.0,1277.0,0.0,31.432961709964978,31.432961709964978,0.0,604.5255386829376,,,,,,,,,,,,,,,,,,,,,11.44962888564761,10.640168397207967,29.211329238929252,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1.0,0.0,0.0,521.0,24.0,27.0,1304.0,0.0,48.2642295993758,48.2642295993758,0.0,609.9714598655701,,,,,,,,,,,,,,,,,,,,,21.814063134798207,14.943706808937852,40.63957744830583,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1.0,0.0,0.0,548.0,25.0,27.0,1331.0,0.0,34.401725444932,34.401725444932,0.0,614.7986969947815,,,,,,,,,,,,,,,,,,,,,9.843581242052856,10.863287278403734,31.348475912185947,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1.0,0.0,0.0,567.0,26.0,19.0,1350.0,0.0,25.200004434236863,25.200004434236863,0.0,619.4459803104401,,,,,,,,,,,,,,,,,,,,,9.089609337060486,7.741701161793832,23.303322191424282,0.21747117194682947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1.0,0.0,0.0,580.0,27.0,13.0,1363.0,0.0,13.605031009602202,13.605031009602202,0.0,623.2952013015747,,,,,,,,,,,,,,,,,,,,,5.468703995055015,4.4621364032636865,12.923428823794971,0.0294711765450419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1.0,0.0,0.0,597.0,28.0,17.0,1380.0,0.0,13.805805565805505,13.805805565805505,0.0,627.9300813674927,,,,,,,,,,,,,,,,,,,,,4.490129067207327,4.639757372303506,13.049367573158431,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1.0,0.0,0.0,626.0,29.0,29.0,1409.0,0.0,40.25381913776815,40.25381913776815,0.0,634.0991489887238,,,,,,,,,,,,,,,,,,,,,16.62471779940065,11.598155785785448,34.03547310678334,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1.0,0.0,0.0,645.0,30.0,19.0,1428.0,0.0,37.03934798245332,37.03934798245332,0.0,638.9122905731201,,,,,,,,,,,,,,,,,,,,,13.147078005056718,12.009334567712473,34.31413409365061,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1.0,0.0,0.0,669.0,31.0,24.0,1452.0,0.0,44.15543769573244,44.15543769573244,0.0,644.2876560688019,,,,,,,,,,,,,,,,,,,,,16.815080642489345,13.358795232673055,39.27131197859906,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1.0,0.0,0.0,691.0,32.0,22.0,1474.0,0.0,30.38220867825037,30.38220867825037,0.0,649.1664483547211,,,,,,,,,,,,,,,,,,,,,9.852534409967902,9.388645695335876,27.963485091562223,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.0,0.0,0.0,710.0,33.0,19.0,1493.0,0.0,12.547641446246653,12.547641446246653,0.0,654.3486511707306,,,,,,,,,,,,,,,,,,,,,3.648093693157683,3.939804493211745,11.861098965391237,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1.0,0.0,0.0,732.0,34.0,22.0,1515.0,0.0,39.59381588883022,39.59381588883022,0.0,659.4265842437744,,,,,,,,,,,,,,,,,,,,,17.21553442144512,11.88481910452519,34.95342784380256,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1.0,0.0,0.0,753.0,35.0,21.0,1536.0,0.0,22.454068706927416,22.454068706927416,0.0,663.9696269035339,,,,,,,,,,,,,,,,,,,,,8.762081940108638,7.2832091988302965,20.298397686921277,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2.0,0.0,0.0,30.0,1.0,30.0,1566.0,0.0,33.44822068996338,33.44822068996338,0.0,944.8422915935516,,,,,,,,,,,,,,,,,,,,,9.73623840943005,9.703254786417334,29.958940870127922,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2.0,0.0,0.0,47.0,2.0,17.0,1583.0,0.0,21.9124334898911,21.9124334898911,0.0,948.8635566234589,,,,,,,,,,,,,,,,,,,,,7.416459679064199,7.0719586022435195,20.635663141776114,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2.0,0.0,0.0,77.0,3.0,30.0,1613.0,0.0,43.166583566329756,43.166583566329756,0.0,955.0303049087524,,,,,,,,,,,,,,,,,,,,,15.051543126335098,11.268949386379195,37.51025706354606,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2.0,0.0,0.0,99.0,4.0,22.0,1635.0,0.0,43.22039060821167,43.22039060821167,0.0,960.4741363525391,,,,,,,,,,,,,,,,,,,,,15.823047301115167,14.196192410500307,39.164920506937754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2.0,0.0,0.0,123.0,5.0,24.0,1659.0,0.0,26.480090690980482,26.480090690980482,0.0,965.8383049964905,,,,,,,,,,,,,,,,,,,,,7.275977910816503,8.172642240963578,24.592995071335555,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2.0,0.0,0.0,139.0,6.0,16.0,1675.0,0.0,34.076920214311286,34.076920214311286,0.0,971.1815674304962,,,,,,,,,,,,,,,,,,,,,20.39843646313693,8.912153078218477,30.076833170819576,3.354861844459908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2.0,0.0,0.0,168.0,7.0,29.0,1704.0,0.0,34.46344228401169,34.46344228401169,0.0,978.6473417282104,,,,,,,,,,,,,,,,,,,,,11.01277630067638,9.872759614648738,30.583508560609605,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2.0,0.0,0.0,190.0,8.0,22.0,1726.0,0.0,45.662874252382345,45.662874252382345,0.0,984.2889642715454,,,,,,,,,,,,,,,,,,,,,16.311367999771534,14.859384072613546,41.51626974408798,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2.0,0.0,0.0,238.0,9.0,48.0,1774.0,0.0,72.31071158134286,72.31071158134286,0.0,993.3201854228973,,,,,,,,,,,,,,,,,,,,,22.764776523055684,21.0273285836607,57.6361900432814,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2.0,0.0,0.0,257.0,10.0,19.0,1793.0,0.0,29.33122730632483,29.33122730632483,0.0,997.8687651157379,,,,,,,,,,,,,,,,,,,,,10.463795741907115,9.976614239978352,27.15766499511073,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
