Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,0.0,0.0,0.0,910.0,28.0,45.0,910.0,0.1,140.77609330410561,0.0,0.0,95.24320673942566,,,,,,,,,,,,,,,,,,,,,60.01036409815237,33.71569499646519,116.08145032133153,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0,0.0,0.0,940.0,29.0,30.0,940.0,0.1,105.12916382600412,0.0,0.0,98.6038863658905,,,,,,,,,,,,,,,,,,,,,49.881289165575005,27.134740453342317,91.99548727306558,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,0.0,0.0,954.0,30.0,14.0,954.0,0.1,45.11076592976006,0.0,0.0,100.3621129989624,,,,,,,,,,,,,,,,,,,,,24.706436543997196,12.694148273736877,42.49756638465509,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0,0.0,0.0,1015.0,31.0,61.0,1015.0,0.1,189.40808281645485,0.0,0.0,106.8223078250885,,,,,,,,,,,,,,,,,,,,,77.34677630786376,44.16068955654349,145.11432432267912,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.0,0.0,0.0,1031.0,32.0,16.0,1031.0,0.1,45.25499999999999,0.0,0.0,108.7659113407135,,,,,,,,,,,,,,,,,,,,,22.885127795963683,13.323541019572824,42.43789363600226,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0,0.0,0.0,1064.0,33.0,33.0,1064.0,0.1,98.25900000000004,0.0,0.0,112.31706833839417,,,,,,,,,,,,,,,,,,,,,44.208400542387494,26.38124213217185,85.36907236099597,2.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0,0.0,0.0,1090.0,34.0,26.0,1090.0,0.1,77.48366395668758,0.0,0.0,115.13781762123108,,,,,,,,,,,,,,,,,,,,,35.203914856445095,21.440398325186763,69.71803499031918,2.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0,0.0,0.0,1105.0,35.0,15.0,1105.0,0.1,48.62140915314495,0.0,0.0,116.98478531837463,,,,,,,,,,,,,,,,,,,,,26.225401489895496,13.54496581953716,45.59493819983738,3.539174959968655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.0,0.0,0.0,1147.0,36.0,42.0,1147.0,0.1,127.51261961379137,0.0,0.0,121.60834193229675,,,,,,,,,,,,,,,,,,,,,54.76591787253896,32.368111567563794,106.63292940243339,2.3794618809898784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.0,0.0,0.0,1175.0,37.0,28.0,1175.0,0.1,81.5412747108699,0.0,0.0,124.6771354675293,,,,,,,,,,,,,,,,,,,,,37.060143018339474,22.195576787372506,72.60936094861222,2.3560174767663145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
